date,year,quarter,month,month_name,year_month,week_number,day,day_of_week,day_of_week_num,is_weekend,is_month_end,country,region,complex,brand,budget,actual_revenue,variance_budget,variance_budget_pct,sdlm_revenue,sdlm_revenue_var,sdlm_revenue_var_pct,sdly_revenue,sdly_revenue_var,sdly_revenue_var_pct,customer_count,sdlm_customer_count,sdly_customer_count,avg_spend,sdlm_avg_spend,sdly_avg_spend,is_synthetic
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,CARREFOUR,CHICKEN INN,1772.0714,6623.33,4851.2586,273.7620278,1804.24,4819.09,267.0980579,1611.52,5011.81,310.9989327,649,221,210,10.20543914,8.1639819,7.673904762,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,CARREFOUR,CREAMY INN,848.7435633,4946.06,4097.316437,482.7508112,674.97,4271.09,632.7821977,766.61,4179.45,545.1859485,732,208,211,6.756912568,3.245048077,3.633222749,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,CARREFOUR,GALITOS,1083.746687,3250.79,2167.043313,199.9584718,1104.55,2146.24,194.3089946,729.03,2521.76,345.9062041,314,116,88,10.35283439,9.521982759,8.284431818,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,CARREFOUR,PIZZA INN,4867.656804,11922.75,7055.093196,144.9381803,2224.55,9698.2,435.9623295,3900.55,8022.2,205.6684314,840,214,350,14.19375,10.39509346,11.14442857,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,CITY MARKET,CHICKEN INN,1411.593257,2951.52,1539.926743,109.0913926,927.58,2023.94,218.1957351,1347.75,1603.77,118.9961046,499,302,557,5.914869739,3.071456954,2.419658887,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,CITY MARKET,PIZZA INN,998.0252498,1570.82,572.7947502,57.39281149,433.52,1137.3,262.3408378,789.76,781.06,98.89839951,676,79,126,2.323698225,5.487594937,6.267936508,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,INN-KIN,CHICKEN INN,2666.804334,6255.75,3588.945666,134.5785149,1746.97,4508.78,258.0914383,2068.86,4186.89,202.3766712,590,223,258,10.6029661,7.833946188,8.018837209,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,INN-KIN,CREAMY INN,714.0809995,2629.58,1915.499,268.2467398,353.27,2276.31,644.3541767,581.64,2047.94,352.0975174,484,81,147,5.433016529,4.361358025,3.956734694,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,INN-KIN,GALITOS,1276.600233,2968.18,1691.579767,132.5066159,1653.03,1315.15,79.55995959,1254.78,1713.4,136.5498334,334,156,148,8.886766467,10.59634615,8.478243243,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,INN-KIN,PIZZA INN,4124.89125,12679.21,8554.31875,207.3828916,3001.46,9677.75,322.4347484,4121.99,8557.22,207.5992421,786,252,291,16.13131043,11.91055556,14.16491409,0
1/1/2020,2020,1,1,January,2020-01,1,1,Wednesday,2,0,0,DRC,KINSHASA,LA PIAZZA,CHICKEN INN,1436.423024,3460,2023.576976,140.8761168,1028.48,2431.52,236.4187928,1490.91,1969.09,132.0730292,387,174,290,8.940568475,5.910804598,5.141068966,0
